<<<<<<< HEAD
BlackBox ; 
chatGPT ; 0.031173706054687500, 0.020980834960937500, 0.005355834960937500,  ,  1.11 
chatGPT ; 0.032028198242187500, 0.021011352539062500, 0.006439208984375000,  ,  1.111 
chatGPT ; 0.063781738281250000, 0.041488647460937500, 0.012481689453125000,  ,  1.35 
chatGPT ; 0.031845092773437500, 0.020950317382812500, 0.005432128906250000,  ,  1.558 
chatGPT ; 0.031723022460937500, 0.020553588867187500, 0.005615234375000000,  ,  1.238 
chatGPT ; 0.027572631835937500, 0.020919799804687500, 0.002349853515625000,  ,  0.858 
chatGPT ; 0.020996093750000000, 0.016632080078125000, 0.000839233398437500,  ,  0.765 
chatGPT ; 0.019592285156250000, 0.015533447265625000, 0.000839233398437500,  ,  0.735 
chatGPT ; 0.000000000000000000, 0.000000000000000000, 0.000000000000000000,  ,  0.706 
chatGPT ; 0.020645141601562500, 0.016555786132812500, 0.000823974609375000,  ,  0.965 
chatGPT ; 0.026382446289062500, 0.021545410156250000, 0.000869750976562500,  ,  0.877 
chatGPT ; 0.020874023437500000, 0.016586303710937500, 0.000839233398437500,  ,  0.724 
chatGPT ; 0.019699096679687500, 0.015625000000000000, 0.000823974609375000,  ,  0.697 
chatGPT ; 0.000000000000000000, 0.000000000000000000, 0.000000000000000000,  ,  0.704 
chatGPT ; 0.020339965820312500, 0.016357421875000000, 0.000823974609375000,  ,  0.699 
chatGPT ; 0.020324707031250000, 0.016143798828125000, 0.000869750976562500,  ,  0.692 
chatGPT ; 0.024154663085937500, 0.019592285156250000, 0.000823974609375000,  ,  1.022 
chatGPT ; 0.026306152343750000, 0.021545410156250000, 0.000823974609375000,  ,  1.286 
chatGPT ; 0.029693603515625000, 0.020690917968750000, 0.004364013671875000,  ,  1.318 
chatGPT ; 0.031158447265625000, 0.020111083984375000, 0.005645751953125000,  ,  1.098 
chatGPT ; 0.063995361328125000, 0.041793823242187500, 0.011245727539062500,  ,  1.504 
chatGPT ; 0.030624389648437500, 0.020477294921875000, 0.005187988281250000,  ,  1.417 
chatGPT ; 0.066894531250000000, 0.044540405273437500, 0.013366699218750000,  ,  1.242 
chatGPT ; 0.029998779296875000, 0.019454956054687500, 0.005691528320312500,  ,  1.184 
chatGPT ; 0.030319213867187500, 0.021041870117187500, 0.004348754882812500,  ,  1.38 
chatGPT ; 0.055755615234375000, 0.042831420898437500, 0.003860473632812500,  ,  1.346 
chatGPT ; 0.032714843750000000, 0.021301269531250000, 0.005813598632812500,  ,  1.226 
chatGPT ; 0.020980834960937500, 0.016265869140625000, 0.001068115234375000,  ,  0.771 
chatGPT ; 0.000000000000000000, 0.000000000000000000, 0.000000000000000000,  ,  0.721 
chatGPT ; 0.020050048828125000, 0.016036987304687500, 0.000778198242187500,  ,  0.71 
chatGPT ; 0.019912719726562500, 0.015914916992187500, 0.000778198242187500,  ,  0.731 
chatGPT ; 0.024307250976562500, 0.019714355468750000, 0.000793457031250000,  ,  1.12 
chatGPT ; 0.027008056640625000, 0.022033691406250000, 0.000808715820312500,  ,  1.322 
chatGPT ; 0.060882568359375000, 0.042114257812500000, 0.009216308593750000,  ,  1.552 
chatGPT ; 0.029968261718750000, 0.019088745117187500, 0.005508422851562500,  ,  1.147 
chatGPT ; 0.030792236328125000, 0.019912719726562500, 0.005523681640625000,  ,  1.249 
chatGPT ; 0.033370971679687500, 0.022857666015625000, 0.005538940429687500,  ,  0.971 
chatGPT ; 0.030319213867187500, 0.019973754882812500, 0.005859375000000000,  ,  1.098 
chatGPT ; 0.063934326171875000, 0.041152954101562500, 0.012878417968750000,  ,  1.533 
chatGPT ; 0.057006835937500000, 0.035690307617187500, 0.011199951171875000,  ,  1.933 
chatGPT ; 0.027267456054687500, 0.019592285156250000, 0.003158569335937500,  ,  1.04 
chatGPT ; 0.000000000000000000, 0.000000000000000000, 0.000000000000000000,  ,  0.771 
chatGPT ; 0.021728515625000000, 0.017395019531250000, 0.000793457031250000,  ,  0.718 
chatGPT ; 0.019760131835937500, 0.015731811523437500, 0.000808715820312500,  ,  0.701 
chatGPT ; 0.020980834960937500, 0.016876220703125000, 0.000793457031250000,  ,  0.704 
chatGPT ; 0.000000000000000000, 0.000000000000000000, 0.000000000000000000,  ,  0.695 
chatGPT ; 0.021942138671875000, 0.017700195312500000, 0.000793457031250000,  ,  1.075 
chatGPT ; 0.026840209960937500, 0.022064208984375000, 0.000686645507812500,  ,  1.228 
chatGPT ; 0.028625488281250000, 0.020797729492187500, 0.003433227539062500,  ,  1.535 
chatGPT ; 0.031997680664062500, 0.021133422851562500, 0.005325317382812500,  ,  1.118 
chatGPT ; 0.060638427734375000, 0.040298461914062500, 0.009765625000000000,  ,  1.481 
chatGPT ; 0.029815673828125000, 0.020568847656250000, 0.004455566406250000,  ,  1.057 
chatGPT ; 0.031234741210937500, 0.021347045898437500, 0.005294799804687500,  ,  0.937 
chatGPT ; 0.030593872070312500, 0.019851684570312500, 0.006057739257812500,  ,  1.102 
chatGPT ; 0.031326293945312500, 0.020675659179687500, 0.005599975585937500,  ,  1.387 
chatGPT ; 0.059722900390625000, 0.040939331054687500, 0.008804321289062500,  ,  1.465 
chatGPT ; 0.031448364257812500, 0.020767211914062500, 0.004989624023437500,  ,  1.498 
chatGPT ; 0.060379028320312500, 0.040679931640625000, 0.009643554687500000,  ,  1.467 
chatGPT ; 0.026718139648437500, 0.016708374023437500, 0.004882812500000000,  ,  1.338 
chatGPT ; 0.030563354492187500, 0.020339965820312500, 0.004913330078125000,  ,  1.349 
chatGPT ; 0.030090332031250000, 0.020355224609375000, 0.004638671875000000,  ,  1.209 
chatGPT ; 0.031494140625000000, 0.020965576171875000, 0.005615234375000000,  ,  0.965 
chatGPT ; 0.031799316406250000, 0.021011352539062500, 0.006515502929687500,  ,  1.075 
chatGPT ; 0.061187744140625000, 0.040588378906250000, 0.004867553710937500,  ,  1.591 
chatGPT ; 0.027175903320312500, 0.021163940429687500, 0.001770019531250000,  ,  1.036 
chatGPT ; 0.025100708007812500, 0.020339965820312500, 0.000793457031250000,  ,  0.841 
chatGPT ; 0.019256591796875000, 0.015289306640625000, 0.000717163085937500,  ,  0.701 
chatGPT ; 0.000000000000000000, 0.000000000000000000, 0.000000000000000000,  ,  0.699 
chatGPT ; 0.020660400390625000, 0.016525268554687500, 0.000778198242187500,  ,  0.698 
chatGPT ; 0.021179199218750000, 0.017120361328125000, 0.000732421875000000,  ,  0.741 
chatGPT ; 0.028350830078125000, 0.019378662109375000, 0.004028320312500000,  ,  1.143 
chatGPT ; 0.030288696289062500, 0.020172119140625000, 0.004730224609375000,  ,  1.192 
chatGPT ; 0.026092529296875000, 0.042343139648437500, 0.005371093750000000,  ,  1.417 
chatGPT ; 0.031936645507812500, 0.021118164062500000, 0.005325317382812500,  ,  1.542 
chatGPT ; 0.059051513671875000, 0.038864135742187500, 0.009613037109375000,  ,  1.614 
chatGPT ; 0.030960083007812500, 0.021179199218750000, 0.004745483398437500,  ,  1.18 
chatGPT ; 0.030456542968750000, 0.020370483398437500, 0.005264282226562500,  ,  1.057 
chatGPT ; 0.031784057617187500, 0.021347045898437500, 0.006195068359375000,  ,  0.91 
chatGPT ; 0.029632568359375000, 0.019836425781250000, 0.005172729492187500,  ,  1.055 
chatGPT ; 0.028442382812500000, 0.019775390625000000, 0.003921508789062500,  ,  1.424 
chatGPT ; 0.054977416992187500, 0.043472290039062500, 0.002929687500000000,  ,  1.325 
chatGPT ; 0.000000000000000000, 0.000000000000000000, 0.000000000000000000,  ,  0.876 
chatGPT ; 0.020996093750000000, 0.016677856445312500, 0.000000000000000000,  ,  0.78 
chatGPT ; 0.019561767578125000, 0.015686035156250000, 0.000671386718750000,  ,  0.901 
chatGPT ; 0.023651123046875000, 0.017807006835937500, 0.001785278320312500,  ,  0.972 
chatGPT ; 0.028442382812500000, 0.018051147460937500, 0.005035400390625000,  ,  1.228 
chatGPT ; 0.027023315429687500, 0.020446777343750000, 0.002868652343750000,  ,  1.151 
chatGPT ; 0.029388427734375000, 0.020874023437500000, 0.004180908203125000,  ,  1.616 
chatGPT ; 0.032073974609375000, 0.021423339843750000, 0.005096435546875000,  ,  1.148 
chatGPT ; 0.061431884765625000, 0.040924072265625000, 0.009765625000000000,  ,  1.378 
chatGPT ; 0.030380249023437500, 0.020828247070312500, 0.004562377929687500,  ,  1.413 
chatGPT ; 0.033325195312500000, 0.023162841796875000, 0.005325317382812500,  ,  1.024 
chatGPT ; 0.031539916992187500, 0.020950317382812500, 0.006072998046875000,  ,  1.103 
chatGPT ; 0.060501098632812500, 0.040817260742187500, 0.009811401367187500,  ,  1.518 
chatGPT ; 0.028427124023437500, 0.021896362304687500, 0.002151489257812500,  ,  1.31 
chatGPT ; 0.025848388671875000, 0.021255493164062500, 0.000671386718750000,  ,  1.115 
chatGPT ; 0.026229858398437500, 0.021759033203125000, 0.000717163085937500,  ,  0.827 
chatGPT ; 0.026046752929687500, 0.021820068359375000, 0.000701904296875000,  ,  1.007 
chatGPT ; 0.029479980468750000, 0.022125244140625000, 0.002624511718750000,  ,  1.417 
chatGPT ; 0.059432983398437500, 0.042755126953125000, 0.006729125976562500,  ,  1.29 
chatGPT ; 0.031021118164062500, 0.021118164062500000, 0.005050659179687500,  ,  1.484 
chatGPT ; 0.030136108398437500, 0.020751953125000000, 0.004119873046875000,  ,  1.298 
chatGPT ; 0.063186645507812500, 0.043762207031250000, 0.008529663085937500,  ,  1.381 
chatGPT ; 0.029449462890625000, 0.020584106445312500, 0.003860473632812500,  ,  1.418 
chatGPT ; 0.031585693359375000, 0.022277832031250000, 0.004272460937500000,  ,  1.113 
chatGPT ; 0.063919067382812500, 0.044662475585937500, 0.010406494140625000,  ,  1.288 
chatGPT ; 0.031829833984375000, 0.022857666015625000, 0.004135131835937500,  ,  1.298 
chatGPT ; 0.052886962890625000, 0.040573120117187500, 0.003723144531250000,  ,  2.036 
chatGPT ; 0.026626586914062500, 0.021743774414062500, 0.000625610351562500,  ,  1.028 
chatGPT ; 0.024520874023437500, 0.019958496093750000, 0.000640869140625000,  ,  0.878 
chatGPT ; 0.022567749023437500, 0.017852783203125000, 0.000961303710937500,  ,  0.867 
chatGPT ; 0.029495239257812500, 0.019790649414062500, 0.004364013671875000,  ,  1.068 
chatGPT ; 0.029342651367187500, 0.021102905273437500, 0.003112792968750000,  ,  1.318 
chatGPT ; 0.059020996093750000, 0.041793823242187500, 0.007583618164062500,  ,  1.613 
chatGPT ; 0.029556274414062500, 0.019805908203125000, 0.004318237304687500,  ,  1.152 
chatGPT ; 0.030563354492187500, 0.021224975585937500, 0.004302978515625000,  ,  1.076 
chatGPT ; 0.029113769531250000, 0.020370483398437500, 0.003875732421875000,  ,  1.033 
chatGPT ; 0.028686523437500000, 0.019973754882812500, 0.003890991210937500,  ,  1.412 
chatGPT ; 0.062957763671875000, 0.042419433593750000, 0.010559082031250000,  ,  1.483 
chatGPT ; 0.025588989257812500, 0.016830444335937500, 0.004318237304687500,  ,  0.973 
chatGPT ; 0.024734497070312500, 0.016540527343750000, 0.004028320312500000,  ,  0.889 
chatGPT ; 0.020187377929687500, 0.015975952148437500, 0.000839233398437500,  ,  0.784 
chatGPT ; 0.000000000000000000, 0.000000000000000000, 0.000000000000000000,  ,  0.826 
chatGPT ; 0.020828247070312500, 0.016830444335937500, 0.000640869140625000,  ,  0.755 
chatGPT ; 0.021347045898437500, 0.017242431640625000, 0.000625610351562500,  ,  0.948 
chatGPT ; 0.022644042968750000, 0.018386840820312500, 0.000625610351562500,  ,  0.964 
chatGPT ; 0.024505615234375000, 0.017761230468750000, 0.002395629882812500,  ,  1.186 
chatGPT ; 0.029312133789062500, 0.019683837890625000, 0.004379272460937500,  ,  1.305 
chatGPT ; 0.028701782226562500, 0.021224975585937500, 0.003097534179687500,  ,  1.414 
chatGPT ; 0.031158447265625000, 0.021270751953125000, 0.004531860351562500,  ,  1.453 
chatGPT ; 0.058349609375000000, 0.039443969726562500, 0.008468627929687500,  ,  1.202 
chatGPT ; 0.029800415039062500, 0.021057128906250000, 0.003906250000000000,  ,  1.003 
chatGPT ; 0.029495239257812500, 0.020446777343750000, 0.004119873046875000,  ,  1.179 
chatGPT ; 0.030624389648437500, 0.020767211914062500, 0.005020141601562500,  ,  1.425 
chatGPT ; 0.030853271484375000, 0.020736694335937500, 0.005294799804687500,  ,  1.302 
chatGPT ; 0.028594970703125000, 0.019577026367187500, 0.000000000000000000,  ,  0.939 
chatGPT ; 0.026535034179687500, 0.017913818359375000, 0.004180908203125000,  ,  0.907 
chatGPT ; 0.020278930664062500, 0.016174316406250000, 0.000717163085937500,  ,  0.772 
chatGPT ; 0.020385742187500000, 0.016433715820312500, 0.000610351562500000,  ,  0.806 
chatGPT ; 0.021347045898437500, 0.017196655273437500, 0.000625610351562500,  ,  1.057 
chatGPT ; 0.023040771484375000, 0.018676757812500000, 0.000610351562500000,  ,  1.007 
chatGPT ; 0.029769897460937500, 0.020538330078125000, 0.003967285156250000,  ,  1.252 
chatGPT ; 0.057739257812500000, 0.041549682617187500, 0.006576538085937500,  ,  1.458 
chatGPT ; 0.029373168945312500, 0.019989013671875000, 0.004409790039062500,  ,  1.385 
chatGPT ; 0.030380249023437500, 0.020629882812500000, 0.004241943359375000,  ,  1.412 
chatGPT ; 0.029541015625000000, 0.019943237304687500, 0.004180908203125000,  ,  1.03 
chatGPT ; 0.030502319335937500, 0.021499633789062500, 0.000000000000000000,  ,  0.954 
chatGPT ; 0.059646606445312500, 0.040939331054687500, 0.009170532226562500,  ,  1.257 
chatGPT ; 0.030166625976562500, 0.020431518554687500, 0.005050659179687500,  ,  1.44 
chatGPT ; 0.030517578125000000, 0.020904541015625000, 0.004562377929687500,  ,  1.115 
chatGPT ; 0.024948120117187500, 0.016418457031250000, 0.004135131835937500,  ,  0.928 
chatGPT ; 0.020278930664062500, 0.015731811523437500, 0.001174926757812500,  ,  0.801 
chatGPT ; 0.019927978515625000, 0.016021728515625000, 0.000610351562500000,  ,  0.732 
chatGPT ; 0.000000000000000000, 0.000000000000000000, 0.000000000000000000,  ,  0.714 
chatGPT ; 0.021286010742187500, 0.017227172851562500, 0.000640869140625000,  ,  0.912 
chatGPT ; 0.024276733398437500, 0.019912719726562500, 0.000595092773437500,  ,  1.117 
chatGPT ; 0.049865722656250000, 0.035263061523437500, 0.005538940429687500,  ,  1.447 
chatGPT ; 0.029144287109375000, 0.021255493164062500, 0.002899169921875000,  ,  1.618 
chatGPT ; 0.029479980468750000, 0.020111083984375000, 0.004440307617187500,  ,  1.736 
chatGPT ; 0.029968261718750000, 0.020278930664062500, 0.004196166992187500,  ,  1.181 
chatGPT ; 0.031173706054687500, 0.021636962890625000, 0.004364013671875000,  ,  0.992 
chatGPT ; 0.029067993164062500, 0.020309448242187500, 0.003860473632812500,  ,  1.09 
chatGPT ; 0.058776855468750000, 0.040008544921875000, 0.008987426757812500,  ,  1.384 
chatGPT ; 0.031570434570312500, 0.021163940429687500, 0.005340576171875000,  ,  1.467 
chatGPT ; 0.029220581054687500, 0.020034790039062500, 0.004409790039062500,  ,  1.154 
chatGPT ; 0.029403686523437500, 0.020629882812500000, 0.004013061523437500,  ,  0.939 
chatGPT ; 0.022369384765625000, 0.017211914062500000, 0.001449584960937500,  ,  0.75 
chatGPT ; 0.019302368164062500, 0.015380859375000000, 0.000625610351562500,  ,  0.724 
chatGPT ; 0.019653320312500000, 0.015823364257812500, 0.000625610351562500,  ,  0.731 
chatGPT ; 0.000000000000000000, 0.000000000000000000, 0.000000000000000000,  ,  0.838 
chatGPT ; 0.048782348632812500, 0.037551879882812500, 0.003051757812500000,  ,  1.262 
chatGPT ; 0.029891967773437500, 0.020248413085937500, 0.004364013671875000,  ,  1.214 
chatGPT ; 0.027343750000000000, 0.021102905273437500, 0.001647949218750000,  ,  1.389 
chatGPT ; 0.057403564453125000, 0.040161132812500000, 0.007766723632812500,  ,  1.318 
chatGPT ; 0.030563354492187500, 0.020614624023437500, 0.004409790039062500,  ,  1.418 
chatGPT ; 0.027679443359375000, 0.018249511718750000, 0.004211425781250000,  ,  1.247 
chatGPT ; 0.030242919921875000, 0.021423339843750000, 0.004058837890625000,  ,  0.992 
chatGPT ; 0.029190063476562500, 0.040679931640625000, 0.009140014648437500,  ,  1.507 
chatGPT ; 0.030944824218750000, 0.020812988281250000, 0.005325317382812500,  ,  1.386 
chatGPT ; 0.027938842773437500, 0.039123535156250000, 0.008178710937500000,  ,  1.301 
chatGPT ; 0.000000000000000000, 0.000000000000000000, 0.000000000000000000,  ,  0.859 
chatGPT ; 0.021331787109375000, 0.017013549804687500, 0.000686645507812500,  ,  0.731 
chatGPT ; 0.019958496093750000, 0.015975952148437500, 0.000625610351562500,  ,  0.726 
chatGPT ; 0.021148681640625000, 0.017059326171875000, 0.000610351562500000,  ,  0.829 
chatGPT ; 0.023712158203125000, 0.019287109375000000, 0.000640869140625000,  ,  1.078 
chatGPT ; 0.028030395507812500, 0.019454956054687500, 0.003540039062500000,  ,  1.171 
chatGPT ; 0.030273437500000000, 0.020751953125000000, 0.004150390625000000,  ,  1.329 
chatGPT ; 0.055511474609375000, 0.041824340820312500, 0.004821777343750000,  ,  1.409 
chatGPT ; 0.028518676757812500, 0.019165039062500000, 0.004257202148437500,  ,  1.166 
chatGPT ; 0.031646728515625000, 0.021514892578125000, 0.004470825195312500,  ,  1.461 
chatGPT ; 0.030258178710937500, 0.021179199218750000, 0.004150390625000000,  ,  1.029 
chatGPT ; 0.058135986328125000, 0.040283203125000000, 0.007949829101562500,  ,  1.285 
chatGPT ; 0.031326293945312500, 0.021072387695312500, 0.005355834960937500,  ,  1.607 
chatGPT ; 0.030685424804687500, 0.020431518554687500, 0.005447387695312500,  ,  1.3 
chatGPT ; 0.024475097656250000, 0.016189575195312500, 0.003845214843750000,  ,  0.94 
chatGPT ; 0.024612426757812500, 0.016998291015625000, 0.003448486328125000,  ,  0.888 
chatGPT ; 0.020660400390625000, 0.016555786132812500, 0.000625610351562500,  ,  0.82 
chatGPT ; 0.020156860351562500, 0.016189575195312500, 0.000640869140625000,  ,  0.748 
chatGPT ; 0.023437500000000000, 0.018966674804687500, 0.000640869140625000,  ,  1.133 
chatGPT ; 0.025390625000000000, 0.019454956054687500, 0.001647949218750000,  ,  0.998 
chatGPT ; 0.026824951171875000, 0.017486572265625000, 0.004333496093750000,  ,  1.254 
chatGPT ; 0.056137084960937500, 0.043609619140625000, 0.003814697265625000,  ,  1.454 
chatGPT ; 0.030975341796875000, 0.021636962890625000, 0.004501342773437500,  ,  1.561 
chatGPT ; 0.030212402343750000, 0.020538330078125000, 0.004150390625000000,  ,  1.212 
chatGPT ; 0.058990478515625000, 0.040084838867187500, 0.008377075195312500,  ,  1.146 
chatGPT ; 0.029373168945312500, 0.020874023437500000, 0.004028320312500000,  ,  1.016 
chatGPT ; 0.029663085937500000, 0.020523071289062500, 0.004470825195312500,  ,  1.166 
chatGPT ; 0.031738281250000000, 0.021347045898437500, 0.005416870117187500,  ,  1.517 
chatGPT ; 0.060256958007812500, 0.041564941406250000, 0.008758544921875000,  ,  1.547 
chatGPT ; 0.025268554687500000, 0.018280029296875000, 0.002746582031250000,  ,  1.021 
chatGPT ; 0.020507812500000000, 0.016418457031250000, 0.000625610351562500,  ,  0.782 
chatGPT ; 0.000000000000000000, 0.000000000000000000, 0.000000000000000000,  ,  0.745 
chatGPT ; 0.019271850585937500, 0.015518188476562500, 0.000610351562500000,  ,  0.736 
chatGPT ; 0.022171020507812500, 0.017929077148437500, 0.000610351562500000,  ,  1.175 
chatGPT ; 0.058868408203125000, 0.041702270507812500, 0.006958007812500000,  ,  1.383 
chatGPT ; 0.027069091796875000, 0.020584106445312500, 0.002090454101562500,  ,  1.523 
chatGPT ; 0.031570434570312500, 0.021759033203125000, 0.004714965820312500,  ,  1.28 
chatGPT ; 0.058547973632812500, 0.039825439453125000, 0.008285522460937500,  ,  1.336 
chatGPT ; 0.031234741210937500, 0.021881103515625000, 0.004165649414062500,  ,  0.999 
chatGPT ; 0.028930664062500000, 0.019973754882812500, 0.004074096679687500,  ,  1.155 
chatGPT ; 0.029205322265625000, 0.020034790039062500, 0.004257202148437500,  ,  1.509 
chatGPT ; 0.031143188476562500, 0.020889282226562500, 0.005355834960937500,  ,  1.004 
chatGPT ; 0.054214477539062500, 0.036132812500000000, 0.009002685546875000,  ,  1.206 
chatGPT ; 0.022415161132812500, 0.015960693359375000, 0.002700805664062500,  ,  0.956 
chatGPT ; 0.000000000000000000, 0.000000000000000000, 0.000000000000000000,  ,  0.845 
chatGPT ; 0.020629882812500000, 0.016494750976562500, 0.000640869140625000,  ,  0.753 
chatGPT ; 0.019180297851562500, 0.015380859375000000, 0.000610351562500000,  ,  0.736 
chatGPT ; 0.019973754882812500, 0.016021728515625000, 0.000656127929687500,  ,  0.726 
chatGPT ; 0.024948120117187500, 0.020294189453125000, 0.000625610351562500,  ,  1.141 
chatGPT ; 0.029129028320312500, 0.019851684570312500, 0.004028320312500000,  ,  1.439 
chatGPT ; 0.030303955078125000, 0.021209716796875000, 0.003707885742187500,  ,  1.245 
chatGPT ; 0.057434082031250000, 0.020416259765625000, 0.004425048828125000,  ,  1.385 
chatGPT ; 0.030380249023437500, 0.020553588867187500, 0.004272460937500000,  ,  1.582 
chatGPT ; 0.028015136718750000, 0.018646240234375000, 0.004287719726562500,  ,  1.047 
chatGPT ; 0.058547973632812500, 0.019729614257812500, 0.003890991210937500,  ,  1.17 
chatGPT ; 0.030578613281250000, 0.020660400390625000, 0.004943847656250000,  ,  1.301 
chatGPT ; 0.030364990234375000, 0.041091918945312500, 0.009796142578125000,  ,  1.57 
chatGPT ; 0.024612426757812500, 0.016128540039062500, 0.004043579101562500,  ,  1.084 
chatGPT ; 0.000000000000000000, 0.000000000000000000, 0.001617431640625000,  ,  0.883 
chatGPT ; 0.000000000000000000, 0.000000000000000000, 0.000000000000000000,  ,  0.794 
chatGPT ; 0.019851684570312500, 0.015899658203125000, 0.000640869140625000,  ,  0.755 
chatGPT ; 0.021133422851562500, 0.017089843750000000, 0.000625610351562500,  ,  0.839 
chatGPT ; 0.024093627929687500, 0.019577026367187500, 0.000656127929687500,  ,  1.054 
chatGPT ; 0.025039672851562500, 0.020355224609375000, 0.000625610351562500,  ,  1.086 
chatGPT ; 0.027435302734375000, 0.020156860351562500, 0.002563476562500000,  ,  1.464 
chatGPT ; 0.029052734375000000, 0.020996093750000000, 0.003341674804687500,  ,  1.624 
chatGPT ; 0.029785156250000000, 0.020355224609375000, 0.008712768554687500,  ,  1.423 
chatGPT ; 0.028793334960937500, 0.019470214843750000, 0.004165649414062500,  ,  1.166 
chatGPT ; 0.029968261718750000, 0.020965576171875000, 0.004043579101562500,  ,  1.109 
chatGPT ; 0.029357910156250000, 0.020614624023437500, 0.004058837890625000,  ,  1.052 
chatGPT ; 0.030487060546875000, 0.020629882812500000, 0.004852294921875000,  ,  1.47 
chatGPT ; 0.061416625976562500, 0.041702270507812500, 0.009918212890625000,  ,  1.356 
chatGPT ; 0.029083251953125000, 0.020126342773437500, 0.004135131835937500,  ,  1.214 
chatGPT ; 0.026306152343750000, 0.020339965820312500, 0.001998901367187500,  ,  0.989 
chatGPT ; 0.020507812500000000, 0.016250610351562500, 0.000701904296875000,  ,  0.777 
chatGPT ; 0.000000000000000000, 0.000000000000000000, 0.000000000000000000,  ,  0.765 
